"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247511",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247511/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247514","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247511/revisions/247514",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247512",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247511",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247511",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247511",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247506","2020-06-11T14:04:59","2020-06-11T19:04:59","https://fernandafamiliar.soy/?p=247506","2020-06-11T14:15:14","2020-06-11T19:15:14","verificentros-de-cdmx-reabren-el-10-de-agosto","publish","post","https://fernandafamiliar.soy/noticias/cdmx/verificentros-de-cdmx-reabren-el-10-de-agosto/","Verificentros de CDMX reabren el 10 de agosto","<p>Marina Robles García, secretaria del Medio Ambiente de la capital, informó que se espera que el próximo 10 de agosto, si el semáforo de riesgo de la COVID-19 está en verde, reinicie el servicio de verificación vehicular en Ciudad de México.</p><p>En conferencia de prensa, detalló que solo deberán verificar los automóviles que no hayan obtenido su certificado de verificación obligatoria en el primer trimestre del este año.</p><figure class=""wp-block-gallery columns-2 is-cropped""><ul data-carousel-extra='{""blog_id"":1,""permalink"":""https:\/\/fernandafamiliar.soy\/noticias\/cdmx\/verificentros-de-cdmx-reabren-el-10-de-agosto\/""}' class=""blocks-gallery-grid""><li class=""blocks-gallery-item""><figure><img data-attachment-id=""247507"" data-permalink=""https://fernandafamiliar.soy/noticias/cdmx/verificentros-de-cdmx-reabren-el-10-de-agosto/attachment/captura-de-pantalla-2020-06-11-a-las-13-59-45/"" data-orig-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45.png"" data-orig-size=""1428,769"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;0&quot;}"" data-image-title=""Captura-de-Pantalla-2020-06-11-a-las-13.59.45"" data-image-description="""" data-medium-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-300x162.png"" data-large-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-1024x551.png"" src=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-1024x551.png"" alt="""" data-id=""247507"" data-full-url=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45.png"" data-link=""https://fernandafamiliar.soy/?attachment_id=247507"" class=""wp-image-247507"" srcset=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-1024x551.png 1024w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-300x162.png 300w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-768x414.png 768w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-696x375.png 696w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-1068x575.png 1068w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45-780x420.png 780w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.45.png 1428w"" sizes=""(max-width: 1024px) 100vw, 1024px"" /></figure></li><li class=""blocks-gallery-item""><figure><img data-attachment-id=""247508"" data-permalink=""https://fernandafamiliar.soy/noticias/cdmx/verificentros-de-cdmx-reabren-el-10-de-agosto/attachment/captura-de-pantalla-2020-06-11-a-las-13-59-19/"" data-orig-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19.png"" data-orig-size=""1430,783"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;0&quot;}"" data-image-title=""Captura-de-Pantalla-2020-06-11-a-las-13.59.19"" data-image-description="""" data-medium-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-300x164.png"" data-large-file=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-1024x561.png"" src=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-1024x561.png"" alt="""" data-id=""247508"" data-full-url=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19.png"" data-link=""https://fernandafamiliar.soy/?attachment_id=247508"" class=""wp-image-247508"" srcset=""https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-1024x561.png 1024w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-300x164.png 300w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-768x421.png 768w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-696x381.png 696w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-1068x585.png 1068w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19-767x420.png 767w, https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.59.19.png 1430w"" sizes=""(max-width: 1024px) 100vw, 1024px"" /></figure></li></ul></figure><p>Sergio Zirath Hernández, director general de Calidad de Aire, informó que los centros de verificación tomarán las siguientes medidas para su activación:</p><ul><li>El personal de los centro de verificación deberán tomar y aprobar un curso de capacitación llamado “Reconocimiento para un retorno seguro al trabajo anta COVID-19”.</li><li>Habrá una estación sanitaria en el ingreso a los centros de verificación.</li><li>Se limitarán las citas a un máximo de 4 por hora por línea de verificación.</li><li>Se acondicionarán áreas de espera y entrega de resultados.</li><li>El uso de cubrebocas en los centros de verificación será obligatorio.</li><li>Solo se permitirá el acceso a una persona por auto.</li></ul><p>Por su parte, Claudia Sheinbaum, jefa de gobierno de la Ciudad de México, agregó: “No se preocupen por el tema del hoy no circula, porque se amplía la vigencia del holograma que obtuvieron para validar que solamente este años se hace una sola ve la verificación”.</p><figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div data-carousel-extra='{""blog_id"":1,""permalink"":""https:\/\/fernandafamiliar.soy\/noticias\/cdmx\/verificentros-de-cdmx-reabren-el-10-de-agosto\/""}' class=""wp-block-embed__wrapper""><span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe class='youtube-player' width='696' height='392' src='https://www.youtube.com/embed/GjN_cKT1DuU?version=3&#038;rel=1&#038;fs=1&#038;autohide=2&#038;showsearch=0&#038;showinfo=1&#038;iv_load_policy=1&#038;wmode=transparent' allowfullscreen='true' style='border:0;'></iframe></span></div></figure>","False","<p>Marina Robles García, secretaria del Medio Ambiente de la capital, informó que se espera que el próximo&#8230;</p>","False","85","247509","open","open","False","","standard","","","12","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/a-l-moheR9rdRGY-unsplash-scaled.jpg","https://wp.me/p794bQ-12o2","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247506",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247506",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","1","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247506/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247510","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247506/revisions/247510",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247509",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247506",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247506",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247506",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247502","2020-06-11T13:35:05","2020-06-11T18:35:05","https://fernandafamiliar.soy/?p=247502","2020-06-11T13:37:42","2020-06-11T18:37:42","tito-charly-perdio-su-trabajo-pero-se-volvio-youtuber","publish","post","https://fernandafamiliar.soy/noticias/el-mejor-buscador-de-internet/tito-charly-perdio-su-trabajo-pero-se-volvio-youtuber/","Tito Charly: perdió su trabajo, pero se volvió &#8216;youtuber&#8217;","<p>Carlos Elizondo un hombre de 79 años, quien antes de la pandemia de COVID-19 trabajaba como empacador en un supermercado de Monterrey, Nuevo León; como muchos otros lugares, las personas de más de 60 años tuvieron que permanecer en casa, por lo que ya no pudo asistir a trabajar, al lugar en el que por cinco horas ganaba hasta 250 pesos.</p><p>Pero Don Carlos, mejor conocido como &#8216;Tito Charly&#8217;, siempre luchón, no se quedó asustado y se abrió un canal de YouTube para compartir sus recetas de cocina, esas que suelen traer recuerdos gratos.</p><p>«Mis hijas me han animado a compartir mis recetas (&#8230;) A mi edad aún creo en que todo se puede lograr, cuando uno hace las cosas con ganas de vivir. ¡Ánimo raza!… No se achicopalen», dice Tito Charly, quien apenas el 28 de Mayo festejaba los 1,000 suscriptores y al día de hoy ya sobrepasa los 50,000. ¡Qué bárbaro!</p><p>“Todavía no me lo creo. Gracias por suscribirse, estoy muy feliz como una lombriz. Esperen nuevas recetas para que puedan disfrutar algo especial, algo a la Tito”, comentó en el festejo.</p><p>Acá el video del festejo de los primeros 1,000:</p><figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper""><span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe class='youtube-player' width='696' height='392' src='https://www.youtube.com/embed/eNVszxNg4p8?version=3&#038;rel=1&#038;fs=1&#038;autohide=2&#038;showsearch=0&#038;showinfo=1&#038;iv_load_policy=1&#038;wmode=transparent' allowfullscreen='true' style='border:0;'></iframe></span></div></figure><p>Y si venías por las recetas, en este video hizo dos deliciosas: Queso crema empalizada de carne seca 🥰 y Ceviche de Carne seca 🤩</p><figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-4-3 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper""><span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe class='youtube-player' width='696' height='392' src='https://www.youtube.com/embed/evXnuTaCQ98?version=3&#038;rel=1&#038;fs=1&#038;autohide=2&#038;showsearch=0&#038;showinfo=1&#038;iv_load_policy=1&#038;wmode=transparent' allowfullscreen='true' style='border:0;'></iframe></span></div></figure><p>Por cierto, que no se conformó con ser <em>youtuber</em> y se volvió empresario al mismo tiempo, pues se asoció con productores artesanales de carne seca, chorizo y queso, y le produjeron su marca propia llamada Tito Charly, misma que distribuye con gran alegría.</p>","False","<p>Carlos Elizondo un hombre de 79 años, quien antes de la pandemia de COVID-19 trabajaba como empacador en un supermercado&#8230;</p>","False","6","247503","open","open","False","","standard","","","25","24885","23156","24886","19510","24887","1814","14324","446","12326","https://fernandafamiliar.soy/wp-content/uploads/2020/06/Abue-PORTADA.jpg","https://wp.me/p794bQ-12nY","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247502",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247502",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247502/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247505","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247502/revisions/247505",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247503",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247502",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247502",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247502",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247494","2020-06-11T12:30:22","2020-06-11T17:30:22","https://fernandafamiliar.soy/?p=247494","2020-06-11T13:15:44","2020-06-11T18:15:44","cofepris-autoriza-acceso-a-tocilizumab-para-tratar-covid-19","publish","post","https://fernandafamiliar.soy/noticias/nacional/cofepris-autoriza-acceso-a-tocilizumab-para-tratar-covid-19/","Cofepris autoriza acceso a Tocilizumab para tratar COVID-19","<p>La Comisión Federal para la Protección contra Riesgos Sanitarios (Cofepris)&nbsp;autorizó el acceso al&nbsp;Tocilizumab,&nbsp;medicamento&nbsp;para&nbsp;tratar a pacientes de COVID-19.</p><p>El fármaco se liberará en aduanas, luego de que el infectólogo en jefe del hospital ABC, Francisco Moreno Sánchez, denunciara su carencia. De acuerdo con el médico, el Tocilizumab es de vital importancia en el tratamiento de pacientes con la enfermedad.</p><p>Un anticuerpo monoclonal que ayuda a inhibir la inflamación de las células, de ahí que se crea que ayuda a que no se inflamen los tejidos pulmonares de paciente COVID-19.</p><p>El infectólogo comentó que el&nbsp;medicamento&nbsp;se usa normalmente en el tratamiento de personas que padecen artritis reumatoide, y sostuvo que en estos momentos&nbsp;hay&nbsp;escasez de, pero que existen cantidades importantes del mismo en aduanas de México, por lo que hizo un llamado a la&nbsp;Cofepris.</p><figure class=""wp-block-embed-twitter wp-block-embed is-type-rich is-provider-twitter""><div class=""wp-block-embed__wrapper""><blockquote class=""twitter-tweet"" data-width=""550"" data-dnt=""true""><p lang=""es"" dir=""ltr"">Por la salud de los mexicanos, necesitamos que <a href=""https://twitter.com/COFEPRIS?ref_src=twsrc%5Etfw"">@COFEPRIS</a> permita la importación de tociluzimab. <a href=""https://twitter.com/hashtag/COVID2019?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID2019</a> <a href=""https://t.co/N2RcnsKCwY"">pic.twitter.com/N2RcnsKCwY</a></p>&mdash; Dr Francisco Moreno Sánchez (@DrPacoMoreno1) <a href=""https://twitter.com/DrPacoMoreno1/status/1270866101128265730?ref_src=twsrc%5Etfw"">June 10, 2020</a></blockquote><script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></div><figcaption><br></figcaption></figure><p>Tras conocerse la noticia, el doctor agradeció por la misma vía.</p><figure class=""wp-block-embed-twitter wp-block-embed is-type-rich is-provider-twitter""><div class=""wp-block-embed__wrapper""><blockquote class=""twitter-tweet"" data-width=""550"" data-dnt=""true""><p lang=""es"" dir=""ltr"">Agradezco el apoyo de <a href=""https://twitter.com/lopezobrador_?ref_src=twsrc%5Etfw"">@lopezobrador_</a>  y de <a href=""https://twitter.com/COFEPRIS?ref_src=twsrc%5Etfw"">@COFEPRIS</a> por la rápida liberación del tocilizumab. Vamos México. <a href=""https://t.co/G3dwFwqZPI"">pic.twitter.com/G3dwFwqZPI</a></p>&mdash; Dr Francisco Moreno Sánchez (@DrPacoMoreno1) <a href=""https://twitter.com/DrPacoMoreno1/status/1271114018376298497?ref_src=twsrc%5Etfw"">June 11, 2020</a></blockquote><script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></div></figure>","False","<p>La Comisión Federal para la Protección contra Riesgos Sanitarios (Cofepris) autorizó el acceso al Tocilizumab&#8230;</p>","False","85","247498","open","open","False","","standard","","","14153","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-13.08.14-1.png","https://wp.me/p794bQ-12nQ","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247494",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247494",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247494/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247500","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247494/revisions/247500",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247498",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247494",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247494",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247494",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247491","2020-06-11T11:39:04","2020-06-11T16:39:04","https://fernandafamiliar.soy/?p=247491","2020-06-11T11:39:12","2020-06-11T16:39:12","peso-mexicano-y-bolsa-se-hunden","publish","post","https://fernandafamiliar.soy/noticias/dinero/peso-mexicano-y-bolsa-se-hunden/","Peso mexicano y bolsa se hunden","<p>El peso mexicano y la bolsa caían con fuerza el jueves tras conocerse débiles datos de la producción industrial local, y proyecciones económicas de la Reserva Federal de Estados Unidos que opacaron expectativas de que la economía mundial se recuperará rápidamente de la pandemia del coronavirus.</p><p>* La moneda local cotizaba en 22.5188 por dólar, con una caída de un 3.03% frente a los 21.8570 del precio de referencia de Reuters del miércoles. Antes, llegó a depreciarse hasta las 22.5930 unidades.</p><p>* Mientras tanto, el referencial índice S&amp;P/BMV IPC, integrado por las acciones de las 35 firmas más líquidas del mercado, caía un 3.31% a 37,0001.01 puntos, a las 11.17 hora local (1617 GMT), con un volumen de 58.3 millones de títulos negociados.</p><p>* La actividad industrial de México sufrió en abril una contracción histórica golpeada por un desempeño negativo de la construcción y del sector manufacturero debido a los efectos de la pandemia del coronavirus. El Indicador Mensual de la Actividad Industrial (IMAI) registró una caída real de 25.1% en abril respecto al mes previo.</p><p>* «Aunque se anticipaba un comportamiento de esta naturaleza, la materialización de un daño muy significativo en abril no deja de ser una noticia lamentable para la economía», dijo Monex en un reporte. «Consideramos que varios de los riesgos que aparecían en el horizonte durante el primer trimestre se han materializado», añadió.</p><p>* La Fed proyectó el miércoles que la economía estadounidense se contraerá un 6.5% en 2020 y que la tasa de desempleo será de 9.3% para fines de este año.</p><p>* En el mercado de deuda, el rendimiento del bono a 10 años se mantenía estable en 6.13%, al igual que la tasa a 20 años, que operaba en 7.03%. <br><br><br><em>Información de Reuters</em></p>","False","<p>El peso mexicano y la bolsa caían con fuerza el jueves tras conocerse débiles datos de la producción industrial local&#8230;</p>","False","85","217723","open","open","False","","standard","","","14154","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2018/08/Peso-Mexicano.jpg","https://wp.me/p794bQ-12nN","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247491",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247491",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247491/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247493","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247491/revisions/247493",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/217723",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247491",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247491",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","post_tag","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/tags?post=247491",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","curies","wp","","","","","https://api.w.org/{rel}","True"
"247489","2020-06-11T11:30:55","2020-06-11T16:30:55","https://fernandafamiliar.soy/?p=247489","2020-06-11T11:31:01","2020-06-11T16:31:01","astrazeneca-y-emergent-biosolutions-pactan-para-vacuna-de-covid-19","publish","post","https://fernandafamiliar.soy/noticias/salud/astrazeneca-y-emergent-biosolutions-pactan-para-vacuna-de-covid-19/","AstraZeneca y Emergent BioSolutions pactan para vacuna de COVID-19","<p>Emergent BioSolutions Inc dijo el jueves que firmó un acuerdo por 87 millones de dólares para fabricar la vacuna experimental para COVID-19 de AstraZeneca Plc en Estados Unidos, impulsando los esfuerzos de la empresa británica para llevar una vacuna al mercado.</p><p>El acuerdo se anunció semanas después de que Estados Unidos prometió hasta 1.200 millones de dólares para asegurar 300 millones de dosis de la vacuna AstraZeneca, una de las primeras en pasar a ensayos de etapa intermedia.</p><p>AstraZeneca ha dicho que los primeros indicios de la efectividad de su vacuna probablemente estarán disponible en junio o julio. Sin embargo, los expertos han advertido que tener una vacuna segura y efectiva podría tomar de 12 a 18 meses desde el inicio del desarrollo.</p><p>Bajo el acuerdo, Emergent dijo que la fabricación a gran escala de la vacuna se realizará en un centro que tiene la capacidad de producir hasta cientos de millones de dosis anualmente.</p><p>La empresa, que también firmó un acuerdo con Johnson &amp; Johnson para fabricar su vacuna para COVID-19, dijo que reservaría parte de su capacidad de fabricación a gran escala este año para AstraZeneca.<br><br><br><em>Información de Reuters</em></p>","False","<p>Emergent BioSolutions Inc dijo el jueves que firmó un acuerdo por 87 millones de dólares para fabricar la vacuna experimental para COVID-19&#8230;</p>","False","85","246053","open","open","False","","standard","","","136","24591","23156","24881","19851","24594","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/05/dimitri-houtteman-qBhpPxW3ESs-unsplash-2-scaled.jpg","https://wp.me/p794bQ-12nL","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247489",""
