"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"247521","2020-06-11T15:25:43","2020-06-11T20:25:43","https://fernandafamiliar.soy/?p=247521","2020-06-11T15:25:49","2020-06-11T20:25:49","eres-fan-de-hugo-lopez-gatell-ya-salio-el-muneco-tejido-con-su-imagen","publish","post","https://fernandafamiliar.soy/noticias/el-mejor-buscador-de-internet/eres-fan-de-hugo-lopez-gatell-ya-salio-el-muneco-tejido-con-su-imagen/","¿Eres fan de Hugo López-Gatell? ¡Ya salió el muñeco tejido con su imagen!","<p>Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud, el llamado «Rockstar inesperado de la 4T», al momento, podemos decir, que es el personaje que más ha llamado la atención, dentro del gabinete de la 4T, hay quienes incluso docen que ya es un personaje casi de culto.</p><p>Pues ahora, desde Toluca para el mundo, y para todos sus fans, llega el único, maravilloso, sensacional y tierno&#8230; ¡Muñeco tejido con la imagen de López-Gatell!; así como lo escuchas (lees), totalmente hecho por manos mexicanas, este souvenir que ya se volvió viral, se puede conseguir por facebook.</p><p>Ana Gabriela Granados, es el nombre de la joven emprendedora, quien en su página de Facebook: «Anana Aranitas Tejedoras», puso a la venta el curioso personaje, y dijo:&nbsp;«Nuestra nueva creación LÓPEZ GATELL, en estos tiempos de pandemia que se ha vuelto tan famoso, ahora forma parte de nuestra colección de artesanías»&#8230;»El muñeco está elaborado con hilaza de algodón y tengo dos tamaños, uno de 15 y otro de 30 centímetros; con el primero tardo como 3 y en el segundo unos 6 días en elaborarlo»&nbsp;</p><p>Según su creadora, el muñeco de Gatell (el tejido), se ha convertido en todo un éxito y así agradeció a las personas que han pedido un ejemplar:&nbsp;“Las arañitas tejedoras agradecemos a quienes han confiado en nuestro trabajo y han hecho posible este hermoso proyecto. Cuídense mucho y como dice nuestro epidemiólogo López Gatell “quédense en casa”, dice el agradecimiento en la página, la cual te dejamos abajo para que puedas visitarla.</p><figure class=""wp-block-embed-facebook wp-block-embed is-type-rich is-provider-facebook""><div class=""wp-block-embed__wrapper""><fb:post href=""https://www.facebook.com/ANANAtejido/posts/144357257187722"" data-width=""552""></fb:post></div></figure><p>Acá una entrevista con la creadora</p><figure class=""wp-block-embed-youtube wp-block-embed is-type-video is-provider-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper""><span class=""embed-youtube"" style=""text-align:center; display: block;""><iframe class='youtube-player' width='696' height='392' src='https://www.youtube.com/embed/mVdbICj9lX0?version=3&#038;rel=1&#038;fs=1&#038;autohide=2&#038;showsearch=0&#038;showinfo=1&#038;iv_load_policy=1&#038;wmode=transparent' allowfullscreen='true' style='border:0;'></iframe></span></div></figure>","False","<p>Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud, el llamado «Rockstar inesperado de la 4T»&#8230;</p>","False","6","247522","open","open","False","","standard","","","25","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/Captura-de-Pantalla-2020-06-11-a-las-15.23.45.png","https://wp.me/p794bQ-12oh","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247521",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247521",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247521/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247524","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247521/revisions/247524",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247522",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247521",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247521",""
